source,target
"الثاني","التاني"
"الثالث","التالت"
"اللون الأحمر","اللون الأحمر / حمر"
"اللون الأزرق","اللون الأزرق / زرق"
"اللون الأصفر","اللون الأصفر / صفر"
"اللون الأخضر","اللون الأخضر / خضر"
"اللون الأسود","اللون الكحل / كحل"
"اللون الأبيض","اللون الأبيض / بيض"
"اللون البني","اللون القهوي / قهوي"
"اللون الرمادي","اللون الرمادي / رمادي"
"الماء","الما"
"التراب / الأرض","التراب / الأرض"
"السماء","السما"
"الجو غائم","الجو مغيم"
"الجو مشمس","الجو فيه الشمش"
"الجو ممطر","الجو فيه الشتا"
"درجة الحرارة","درجة الحرارة"
"كم ثمن الغرفة؟","بشحال البيت؟"
"هل يمكنني دفع الإيجار؟","واش ممكن نخلص الكرا؟"
"أنا أدرس اللغة العربية","كنقرا اللغة العربية"
"لدي واجب منزلي","عندي التمارين د الدار"
"هل لديك قلم؟","واش عندك ستيلو؟"
"أحتاج ورقة","خاصني ورقة"
"الكتاب على الطاولة","الكتاب فوق الطبلة"
"أريد أن أستعيره","بغيت نتسلفو"
"من هذا الرجل؟","شكون هاد السيد؟"
"من هذه السيدة؟","شكون هاد السيدة؟"
"أنا أعرف هذا الشخص","أنا كنعرف هاد الشخص"
"أنا لا أعرف هذا الشخص","أنا ما كنعرفش هاد الشخص"
"تعال معي","أجي معايا"
"اتركني","خليني"
"أنا آسف للتأخير","سمح ليا على التعطيلة"
"لقد نسيت","نسيت"
"أريد أن أتذكر","بغيت نتفكر"
"هاتفي يرن","تيليفوني كيصوني"
"أنا أجيب على الهاتف","كنشد التليفون"
"لدي رسالة","عندي ميساج"
"سأرسل رسالة نصية","غنصيفط ميساج"
"ما هي وظيفتك؟","أشنو خدمتك؟"
"أنا أبحث عن عمل","كنقلب على خدمة"
"أنا متأخر","أنا تعطلت"
"صديقي المقرب","صاحبي العزيز"
"صديقتي المقربة","صاحبتي العزيزة"
"أنا أحبك كثيراً","كنبغيك بزاف"
"أنا أحترمك","أنا كنحترمك"
"هل أنت متزوج؟ (مذكر)","واش نتا مزوج؟"
"هل أنت متزوجة؟ (مؤنث)","واش نتي مزوجة؟"
"أنا عازب","أنا عازب / ما مزوجش"
"أنا أواعد شخصاً","كنخرج مع شي حد"
"هل لديك إخوة؟","واش عندك خوت؟"
"أنا الابن الأصغر","أنا أصغر واحد في الخوت"
"أنا أزور أصدقائي","كنزور صحابي"
"هذا شرف لي","هذا شرف ليا"
"كل عام وأنت بخير","كل عام و نتا بخير"
"أنا مدعو لحفلة","أنا معروض لحفلة"
"نحن جيران","حنا جيران"
"يجب أن نلتقي قريباً","خاصنا نتلاقاو قريب"
"ما هي خططك؟","شنو هما الخطط ديالك؟"
"لا أعرف ماذا أفعل","ما عرفتش آش ندير"
"القرار لك","القرار ديالك"
"إنه سر","هذا سر"
"رأس","راس"
"بطن","كرش"
"يد","يد / ايد"
"قدم","رجل"
"أصبع","صبع"
"عين","عين"
"فم","فم"
"أذن","ودن"
"لدي صداع","كضرني راسي"
"لدي حمى","فيا السخانة / الحرارة"
"أنا متوعك","أنا مافياش / ما عنديش الخاطر"
"أشعر بألم في...","كضرني..."
"تناول الدواء","شرب الدوا"
"هل أنت بخير؟","واش لاباس عليك؟"
"أنا أتعافى","أنا كنتعافى"
"التهاب","التهاب"
"عطسة","عطسة"
"سعال","كحة"
"مطبخ","كوزينة"
"غرفة نوم","بيت النعاس"
"طاولة","طبلة"
"كرسي","كرسي"
"سرير","ناموسية"
"خزانة","بلاكار / ماريو"
"مرآة","مراية"
"تلفاز","تلفزة"
"ثلاجة","تلاجة"
"سجادة","زربية"
"جدار","حائط"
"أرضية","أرض"
"الكهرباء مقطوعة","الضو مقطوع"
"الماء مقطوع","الما مقطوع"
"أنا أكنس الأرض","كنشطب الأرض"
"أنا أرتب الأثاث","كنقاد الموبيليا"
"أحتاج مفتاحاً","خاصني ساروت"
"هذه رائحة جيدة","هادي ريحة زوينة"
"هذه رائحة سيئة","هادي ريحة خايبة"
"الباب مغلق","الباب مسدود"
"في الصباح","ف الصباح"
"في الظهيرة","ف الظهر"
"في المساء","ف العشية / ف المساء"
"في الليل","ف الليل"
"قبل","قبل"
"بعد","من بعد"
"في الوقت المحدد","ف الوقت"
"في كل مرة","ف كل مرة"
"عادةً","عادة / غالباً"
"نادراً","نادراً"
"منذ متى؟","شحال هادي؟"
"إلى الأبد","ديما / للأبد"
"مستقبلاً","ف المستقبل"
"الأسبوع القادم","السيمانة الجاية"
"الشهر الماضي","الشهر اللي فات"
"هذا العام","هاد العام"
"العام القادم","العام الجاي"
"سأذهب في إجازة","غادي نمشي ف كونجي"
"أنا عائد","أنا راجع"
"الانتظار ممل","التسنا ممل"
"أين يمكنني أن أجد...؟","فين يمكن ليا نلقى...؟"
"هذا بجانبي","هذا حدايا"
"هذا أمامي","هذا قدامي"
"هذا خلفي","هذا ورايا"
"هذا بالداخل","هذا لداخل"
"هذا بالخارج","هذا لبرا"
"الجو حار جداً","الجو سخون بزاف"
"الجو مثلج","كاين الثلج"
"الضباب كثيف","الضباب بزاف"
"هناك عاصفة","كاين العاصفة"
"الشمس ساطعة","الشمش ساطعة"
"لا يوجد سحب","ما كاينش السحاب"
"أنا أحتاج نظارات","خاصني نضاضر"
"هذه فكرة ممتازة","هادي فكرة ممتازة"
"أنا أثق بك","أنا كنتيق فيك"
"لا تثق بي","ما تتيقش فيا"
"النجاح","النجاح"
"الفشل","الفشل"
"القانون","القانون"
"الشرطة","البوليس"
"الجريمة","الجريمة"
"العدالة","العدالة"
"أنا جاد","أنا جاد"
"هل تمزح؟","واش كضحك؟"
"توقف عن المزاح","حبس الضحك"
"ماذا تعني؟","شنو كتقصد؟"
"هذه غلطتي","هادي غلطتي"
"هذه مسؤوليتك","هادي مسؤوليتك"
"أنا أعرف الطريق","أنا عارف الطريق"
"أنا ضائع","أنا تالف"
"أنا أسوق سيارة","كنسوق الطوموبيل"
"أنا أركب دراجة","كنركب على البيكالا"
"انطلق / ابدأ","سير / بدأ"
"توقف","وقف"
"خطر!","خطر!"
"الاحتياط واجب","الحذر واجب"
"أنا سعيد برؤيتك","فرحت مني شفتك"
"كيف كانت رحلتك؟","كيفاش كانت رحلتك؟"
"رحلة جيدة","رحلة زوينة"
"رحلة متعبة","رحلة معيية"
"هذا مبنى قديم","هذا مبنى قديم"
"هذا مبنى جديد","هذا مبنى جديد"
"المال","الفلوس"
"كم معك؟","شحال عندك؟"
"صراف آلي","كاشي"
"أين يمكنني صرف العملات؟","فين يمكن ليا نصرف العملة؟"
"أنا مسافر","أنا مسافر"
"التاريخ القديم","التاريخ القديم"
"الحضارة الأمازيغية","الحضارة الأمازيغية"
"المدينة القديمة","المدينة القديمة / البالِيَة"
"أسوار المدينة","صور المدينة"
"مسجد","جامع / مسجد"
"قصر / قصبة","قصبة"
"الضريح","الضريح"
"متحف","متحف"
"آثار تاريخية","آثار تاريخية"
"الصحراء الكبرى","الصحرا الكبيرة"
"سلسلة جبال الأطلس","سلسلة جبال الأطلس"
"ميناء","ميناء / بور"
"موسيقى تقليدية","موسيقى تقليدية"
"فلكلور","فلكلور"
"طبق الكسكس","طبق الكسكسو"
"شاي النعناع","أتاي بالنعناع"
"الحناء","الحناء"
"زي تقليدي","لباس تقليدي"
"الجلابة","الجلابة"
"البلغة (حذاء)","البلغة"
"الصناعة اليدوية","الصناعة التقليدية"
"السجاد","الزربية"
"الفخار","الفخار"
"سوق تقليدي (السوق)","سوق / جامع الفنا"
"بائع متجول","بائع متجول / فْرّاح"
"الضيافة المغربية","الضيافة المغربية"
"صاحب البيت","مول الدار"
"أين يمكنني شراء الهدايا؟","فين يمكن ليا نشري الكادوات؟"
"هذا تقليدي","هذا تقليدي"
"هذا عصري","هذا عصري / موديرن"
"إن شاء الله (إذا أراد الله)","إن شاء الله"
"الحمد لله (الشكر لله)","الحمد لله"
"الصلاة","الصلاة"
"صوم رمضان","صوم رمضان"
"العيد الكبير (الأضحى)","العيد الكبير"
"الجمعة مباركة","جمعة مباركة"
"الله يرحم الوالدين (دعاء برحمة الوالدين)","الله يرحم الوالدين"
"الله يشافي (دعاء بالشفاء)","الله يشافي"
"توكلت على الله","توكلت على الله"
"أين القبلة؟","فين القبلة؟"
"وقت الصلاة","وقت الصلاة"
"الشروق","الشروق / طلوع الشمس"
"الغروب","الغروب / نزول الشمس"
"ما هي عاداتكم؟","شنو هما العادات ديالكم؟"
"نحن نحتفل بـ...","كنحتفلو بـ..."
"هل لديك وصفة؟","واش عندك شي وصفة؟"
"هذا لذيذ (جداً)","هذا بنين (بزاف)"
"أريد أن أتعلم الطبخ","بغيت نتعلم نطيب"
"حاسوب محمول","حاسوب محمول / بيسي بورتابل"
"هاتف ذكي","تيليفون ذكي"
"شبكة الإنترنت","الكونيكسيون / الويب"
"كلمة مرور","مود باس"
"هل لديك شاحن؟","واش عندك شارجور؟"
"التقط صورة","صور / خذ صورة"
"إشارة ضعيفة","ريزو ضعيف"
"أرسل لي الموقع","صيفط ليا الموقع / لوكاليزاسيون"
"الذاكرة ممتلئة","الميموار عامرة"
"أنا أتصفح الإنترنت","كنتصفح فالإنترنت"
"أحتاج أن أبحث","خاصني نقلب"
"تطبيق","أبليكاسيون"
"فيديو","فيديو"
"برنامج","بروغرام"
"أنا أتصل بك","كنعيط ليك"
"الخط مشغول","الخط مشغول"
"أرسل لي رسالة صوتية","صيفط ليا أوديو"
"مدرسة","مدرسة / ليكول"
"جامعة","جامعة / فاك"
"أستاذ","أستاذ / معلم"
"طالب","طالب / تلميذ"
"امتحان","امتحان / إكزامان"
"مكتبة","مكتبة"
"أنا أراجع دروسي","كنراجع دروسي"
"هل فهمت الدرس؟","واش فهمتي الدرس؟"
"سأنجح في الامتحان","غادي ننجح ف الإكزامان"
"أنا أتعلم بسرعة","كنتعلم بالزربة"
"أنا أقرأ كتاباً","كنقرا كتاب"
"واجب منزلي","تمارين د الدار"
"أنا محبط","أنا محبط / أنا مقنط"
"أنا قلق","أنا مقلق"
"أنا متفائل","أنا متفائل"
"أنا متشائم","أنا متشائم"
"أنا فخور بك","أنا فخور بيك"
"أنا ممتن","أنا ممتن / أنا شاكر"
"أشعر بالندم","كنحس بالندم"
"أنا آسف جداً","أنا آسف بزاف"
"حدث خطأ","وقع خطأ"
"أحتاج إصلاحاً","خاصني تصليح"
"السيارة معطلة","الطوموبيل خاسرة"
"أحتاج سباكاً","خاصني بلمبي"
"المصباح لا يعمل","البولة ماخداماش"
"هل لديك مفتاح احتياطي؟","واش عندك ساروت آخر؟"
"أين أوقفت سيارتي؟","فين حطيت الطوموبيل ديالي؟"
"أنا في انتظارك","كنتسناك"
"هل وصلت؟","واش وصلتي؟"
"الموعد قد تأجل","الموعد تأجل"
"تم إلغاء الاجتماع","الإجتماع تلغى"
"هل يمكننا إعادة الجدولة؟","واش يمكن لينا نعاودو لبروغرام؟"
"اللقاء غداً","التلاقاو غدا"
"بسهولة","بسهولة / بساحل"
"بصعوبة","بصعوبة"
"بطريقة جيدة","مزيان / بطريقة مزيانة"
"بطريقة سيئة","خايب / بطريقة خايبة"
"بشكل مختلف","بطريقة مختلفة"
"في الواقع","ف الحقيقة"
"على أي حال","على أي حال"
"هناك الكثير","كاين بزاف"
"هناك القليل","كاين غير شوية"
"تقريباً","تقريباً"
"تماماً","تماما"
"بشكل عادل","بالعدل"
"بشكل غير عادل","ماشي بالعدل"
"بهدوء","بالهدوء / بشوية"
"بصوت عالٍ","بصوت مجهد"
"الجو دافئ","الجو دافي"
"الجو عاصف","الجو فيه العاصفة"
"الجو غائم جزئياً","الجو مغيم شوية"
"ستشرق الشمس","غادي تطلع الشمش"
"الشمس غربت","الشمش نزلات"
"لدي مشكلة في الأسنان","عندي مشكل ف سناني"
"أحتاج طبيب أسنان","خاصني طبيب الأسنان"
"أنا بحاجة إلى راحة","خاصني نرتاح"
"جسدي يؤلمني","جسدي كضرني"
"أريد أن أذهب للتسوق","بغيت نمشي نتقدى"
"هل يمكنني تجربة هذا؟","واش ممكن نقيس هادا؟"
"أين هي غرفة القياس؟","فين بيت القياس؟"
"أريد هذا الحجم","بغيت هاد القياس"
"أنا أحب اللون الأزرق","كنبغي اللون الأزرق"
"لا يوجد في مقاسي","ما كاينش ف قياسي"
"أريد أن أدفع نقداً","بغيت نخلص كاش"
"هل تقبلون الشيكات؟","واش كتقبلو الشيكات؟"
"البائع","البائع"
"الزبون","الزبون"
"تخفيضات","تخفيضات / صولد"
"هل لديك إيصال؟","واش عندك الوصل؟"
"أريد استرداد المال","بغيت نرجع الفلوس"
"هذا معيب","هذا فيه ديفو"
"هذا مكسور","هذا مهرس"
"أنا أتعرق","كنعرق"
"أنا أتثاءب","كنتاتأب"
"أنا أبتسم","كنبتسم"
"أنا أصرخ","كنغوت"
"لدي شك","عندي شك"
"هذا مؤكد","هذا مؤكد"
"هذا ممكن","هذا ممكن"
"هذا مستحيل","هذا مستحيل"
"أتمنى لك يوماً سعيداً","كنتمنى لك نهار زوين"
"أتمنى لك ليلة سعيدة","كنتمنى لك ليلة سعيدة"
"لا تكن وقحاً","ما تكونش قبيح"
"كن لطيفاً","كون لطيف"
"سأنتقم","غادي ننتقم"
"سامحني","سمح ليا"
"هذا درس لي","هذا درس ليا"
"أنا أتوب","أنا كنتوب"
"أنا أدعو الله","كنطلب الله"
"صلاة العشاء","صلاة العشا"
"صلاة الفجر","صلاة الفجر"
"صيام مقبول","صيام مقبول"
"إفطار شهي","فطور شهي"
"هذا حلال","هذا حلال"
"هذا حرام","هذا حرام"
"أين القاضي؟","فين القاضي؟"
"أين المحكمة؟","فين المحكمة؟"
"لقد حدث للتو","عاد دابا وقع"
"ما زال لم يحدث","مازال ما وقعش"
"سأفعلها لاحقاً","غادي نديرها من بعد"
"هل يمكنك الانتظار؟","واش يمكن ليك تسنا؟"
"الموضوع انتهى","الموضوع سالا"
"فلنتحدث لاحقاً","نهضرو من بعد"
"لا تبتعد","ما تمشيش بعيد"
"أنا أعتني بـ...","كنتهلا فـ..."
"هل أنت مستعد؟","واش نتا مستعد؟"
"أنا مستعد","أنا مستعد"
"أنا لست مستعداً","أنا ما مستعدش"
"لقد بدأت","أنا بديت"
"لقد أنهيت","أنا ساليت"
"الكلمة الأخيرة","الكلمة الأخيرة"
"إلى أين أنت ذاهب؟","فين غادي؟"